,k,inertia,silhouette
0,2,424776.4582495495,0.17514517413998051
1,3,388243.0438305527,0.14084916190935237
2,4,365505.8395999779,0.14526194007300108
3,5,352279.526949267,0.08478326197168264
4,6,336937.15605072875,0.07702178985052713
5,7,319290.27808743605,0.1018824233116602
6,8,308683.25552285486,0.10421205355983597
7,9,307353.699809309,0.06795446058700727
8,10,299759.313191695,0.08685608803546976
9,11,290532.7590162117,0.07256642163155186
10,12,302923.5131339029,0.07134887860567218
11,13,279518.970424371,0.07744141008940257
12,14,277193.14205487,0.0865854498137724
13,15,268200.49067740433,0.07586872606764652
14,16,268445.8878336993,0.08771121924907459
15,17,262338.47152065346,0.07445412274308118
16,18,263230.1666306158,0.07392337493642705
17,19,249651.52698837232,0.08780935603492128
18,20,252680.42569525243,0.08025180698850296
19,21,256785.97811673657,0.05182724741570361
20,22,240185.80931810063,0.0753571594381184
21,23,235096.43738709693,0.06050588309628134
22,24,245464.52796523832,0.07072773623046552
23,25,229008.28034597455,0.08580914425547047
24,26,239089.8994160344,0.06427366484998047
25,27,235617.1520541857,0.07989407373086466
26,28,237077.23261230963,0.06389148298880917
27,29,234736.20269359485,0.060493796193797675
28,30,222212.68741069263,0.06780093397919637
29,31,227860.82975919935,0.07317186096399328
30,32,234090.9292322808,0.05584152098605899
31,33,215855.96608905497,0.061285340545556434
32,34,228353.05645838167,0.0642680987510258
33,35,215064.49067907553,0.06653776332525599
34,36,208048.47007022874,0.06797998208727815
35,37,210252.41128756086,0.06324986180822148
36,38,223721.34775448276,0.06724993772642089
37,39,216648.43748035698,0.07098676186975292
38,40,205802.33692274068,0.06803960912991604
